Rk,player_name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary_rank,salary_20-21,salary_21-22,signed_using,guaranteed_money,salary_above_average
224,Andre Iguodala,SF,37,MIA,45,2,960,70,184,0.38,46,138,0.33299999999999996,24,46,0.522,0.505,21,33,0.636,30,145,175,95,45,21,47,61,207,80,15000000,15000000,Bird Rights,15000000,1
225,Ersan İlyasova,PF,33,UTA,5,0,30,3,11,0.273,2,9,0.222,1,2,0.5,0.364,3,3,1.0,3,4,7,2,1,0,1,6,11,446,1194542,0,Minimum Salary,1194542,0
226,Joe Ingles,SF,33,UTA,46,13,1217,185,346,0.535,124,248,0.5,61,98,0.622,0.7140000000000001,48,55,0.873,20,148,168,189,32,9,73,84,542,113,10863637,14000000,Bird Rights,24863637,1
227,Brandon Ingram,SF,23,NOP,46,46,1583,391,824,0.475,110,285,0.386,281,539,0.521,0.541,205,234,0.8759999999999999,27,199,226,218,29,32,110,92,1097,41,27285000,29467800,Bird,158253000,1
228,Kyrie Irving,PG,28,BRK,36,36,1286,391,761,0.514,100,255,0.392,291,506,0.575,0.58,126,140,0.9,41,137,178,222,45,21,83,99,1008,15,33329100,34916200,Cap space,104748600,1
229,Wesley Iwundu,SF,26,TOT,27,3,361,24,70,0.34299999999999997,4,29,0.138,20,41,0.488,0.371,17,19,0.895,8,47,55,14,12,3,11,33,69,385,1678854,1824003,Minimum Salary,3502857,0
231,Josh Jackson,SG,23,DET,45,10,1098,210,500,0.42,52,180,0.289,158,320,0.494,0.47200000000000003,105,146,0.7190000000000001,44,139,183,96,42,33,95,128,577,215,4767000,5005350,Room Exception,9772350,0
232,Justin Jackson,SF,25,OKC,33,3,544,86,212,0.406,34,111,0.306,52,101,0.515,0.486,30,35,0.857,14,57,71,51,15,2,31,31,236,202,5029650,0,,5029650,0
233,Reggie Jackson,SG,30,LAC,48,28,1030,168,376,0.447,72,176,0.409,96,200,0.48,0.5429999999999999,44,56,0.7859999999999999,16,111,127,140,28,4,53,91,452,317,2331593,0,Minimum Salary,2331593,0
234,Justin James,SF,24,SAC,25,0,151,18,42,0.429,5,17,0.294,13,25,0.52,0.488,5,12,0.41700000000000004,3,8,11,15,3,1,6,10,46,416,1517981,1782621,Minimum Salary,1517981,0
235,LeBron James,PG,36,LAL,41,41,1388,388,756,0.513,98,266,0.368,290,490,0.5920000000000001,0.578,168,239,0.703,24,299,323,323,43,24,152,65,1042,6,39219565,41180544,Cap Space,124875097,1
236,DaQuan Jeffries,SG,23,SAC,18,2,232,24,57,0.42100000000000004,9,28,0.321,15,29,0.517,0.5,6,7,0.857,9,20,29,6,7,4,8,23,63,437,1445697,0,Minimum Salary,1445697,0
237,Ty Jerome,SG,23,OKC,17,1,437,60,140,0.429,34,83,0.41,26,57,0.456,0.55,6,11,0.545,10,42,52,61,12,2,17,32,160,324,2303040,2412840,1st Round Pick,4715880,0
238,Isaiah Joe,SG,21,PHI,26,1,272,32,91,0.35200000000000004,25,71,0.35200000000000004,7,20,0.35,0.489,8,9,0.889,6,20,26,17,7,4,5,26,97,460,898310,1517981,MLE,2416291,0
240,Cameron Johnson,PF,24,PHO,43,9,991,149,338,0.441,89,233,0.382,60,105,0.5710000000000001,0.5720000000000001,35,40,0.875,23,114,137,57,25,14,30,57,422,228,4235160,4437000,1st Round Pick,8672160,0
241,James Johnson,PF,33,TOT,32,4,595,86,181,0.475,22,74,0.297,64,107,0.598,0.536,23,40,0.575,16,84,100,61,28,30,33,68,217,73,16047100,0,Cap space,16047100,1
242,Keldon Johnson,SF,21,SAS,45,43,1297,226,476,0.475,40,121,0.331,186,355,0.524,0.517,102,135,0.7559999999999999,71,222,293,81,24,23,50,94,594,344,2048040,2145720,1st Round Pick,4193760,0
243,Stanley Johnson,PF,24,TOR,44,6,629,45,117,0.385,26,72,0.361,19,45,0.42200000000000004,0.496,15,19,0.789,20,83,103,54,29,13,30,79,131,245,3801000,0,Bi-annual Exception,3801000,0
244,Tyler Johnson,SG,28,BRK,31,2,522,56,142,0.39399999999999996,38,101,0.376,18,41,0.439,0.528,16,19,0.8420000000000001,5,54,59,29,12,0,13,31,166,349,2028594,0,Minimum Salary,2028594,0
245,Nikola Jokić,C,25,DEN,49,49,1748,508,898,0.5660000000000001,73,171,0.42700000000000005,435,727,0.598,0.606,202,234,0.863,140,397,537,421,74,31,151,133,1291,34,28542009,30510423,Bird Rights,91531269,1
246,Damian Jones,C,25,TOT,22,6,206,24,33,0.727,0,1,0.0,24,32,0.75,0.727,17,23,0.7390000000000001,15,29,44,5,2,12,11,41,65,471,785285,0,,785285,0
247,Derrick Jones Jr.,SF,23,POR,44,40,1130,128,264,0.485,39,119,0.32799999999999996,89,145,0.614,0.5589999999999999,51,77,0.662,71,115,186,38,33,48,27,106,346,130,9268293,9731707,MLE,19000000,1
249,Tre Jones,PG,21,SAS,23,0,105,18,36,0.5,1,1,1.0,17,35,0.486,0.514,5,5,1.0,5,4,9,11,3,0,9,5,42,458,898310,1517981,MLE,2416291,0
250,Tyus Jones,PG,24,MEM,47,8,922,136,316,0.43,31,105,0.295,105,211,0.498,0.479,25,28,0.893,17,91,108,194,51,5,38,21,328,153,7965100,7522200,MLE,15487300,1
251,DeAndre Jordan,C,32,BRK,46,36,1022,156,203,0.768,0,1,0.0,156,202,0.772,0.768,32,65,0.49200000000000005,92,239,331,75,14,56,69,97,344,116,10375678,9881598,Cap space,30079118,1
252,Cory Joseph,PG,29,TOT,51,2,1104,137,301,0.455,34,103,0.33,103,198,0.52,0.512,55,67,0.821,29,92,121,141,49,11,60,112,363,99,12600000,12600000,Cap Space,12600000,1
253,Mfiondu Kabengele,PF,23,LAC,23,0,94,9,32,0.281,4,18,0.222,5,14,0.35700000000000004,0.344,5,6,0.833,1,13,14,5,2,3,6,18,27,341,2075880,0,,2075880,0
254,Frank Kaminsky,C,27,PHO,32,13,483,82,174,0.47100000000000003,26,64,0.406,56,110,0.509,0.546,20,33,0.606,22,96,118,52,10,13,15,42,210,367,1882867,0,,,0
255,Enes Kanter,C,28,POR,49,32,1297,248,412,0.602,0,1,0.0,248,411,0.603,0.602,91,116,0.784,209,361,570,62,26,35,58,126,587,204,5005350,0,Room Exception,5005350,0
256,Luke Kennard,SG,24,LAC,45,9,884,141,290,0.486,75,159,0.47200000000000003,66,131,0.504,0.616,16,19,0.8420000000000001,12,110,122,77,14,8,35,69,373,197,5273826,12727273,1st Round Pick,46510190,0
257,Maxi Kleber,PF,29,DAL,36,30,1012,86,198,0.434,64,150,0.42700000000000005,22,48,0.45799999999999996,0.596,32,35,0.914,32,166,198,50,18,27,21,83,268,144,8250000,8750000,Early Bird Rights,17000000,1
259,Kevin Knox,SF,21,NYK,33,0,433,54,133,0.406,34,83,0.41,20,50,0.4,0.534,13,16,0.813,9,45,54,18,9,6,16,36,155,221,4588680,5845978,1st Round Pick,10434658,0
260,John Konchar,SG,24,MEM,24,0,334,31,71,0.43700000000000006,9,25,0.36,22,46,0.478,0.5,17,20,0.85,22,51,73,24,19,5,10,27,88,339,2093023,2197674,MLE,9000000,0
261,Furkan Korkmaz,SG,23,PHI,39,5,741,113,291,0.38799999999999996,63,175,0.36,50,116,0.431,0.49700000000000005,46,62,0.742,10,68,78,47,30,7,34,45,335,375,1762796,0,,,0
262,Luke Kornet,PF-C,25,TOT,18,0,164,19,49,0.38799999999999996,10,35,0.28600000000000003,9,14,0.643,0.49,2,5,0.4,6,27,33,9,2,11,3,7,50,323,2304878,0,Room Exception,2304878,0
263,Rodions Kurucs,SF-PF,22,TOT,16,0,91,6,24,0.25,3,17,0.17600000000000002,3,7,0.429,0.313,1,2,0.5,2,12,14,6,6,4,9,8,16,373,1780152,1861068,Cap space,1780152,0
264,Kyle Kuzma,SF,25,LAL,49,19,1366,241,549,0.439,97,271,0.358,144,278,0.518,0.527,42,66,0.636,90,244,334,82,22,26,85,84,621,255,3562178,13000000,1st Round Pick,29562178,0
266,Jeremy Lamb,SG,28,IND,28,8,602,96,216,0.444,42,101,0.41600000000000004,54,115,0.47,0.542,58,61,0.951,20,77,97,46,22,14,17,56,292,115,10500000,10500000,Cap Space,21000000,1
267,Romeo Langford,SG,21,BOS,1,0,12,1,4,0.25,1,2,0.5,0,2,0.0,0.375,0,0,0.7466597938144333,1,0,1,1,1,1,1,0,3,250,3631200,3804360,1st Round Pick,7435560,0
268,Zach LaVine,SG,25,CHI,47,47,1644,460,901,0.511,157,373,0.42100000000000004,303,528,0.574,0.598,209,245,0.853,29,203,232,223,39,20,173,113,1286,53,19500000,19500000,Cap space,39000000,1
269,Jake Layman,SF,26,MIN,37,10,560,78,159,0.491,19,67,0.284,59,92,0.6409999999999999,0.55,23,32,0.7190000000000001,13,48,61,26,27,16,24,38,198,246,3761085,3940184,Sign and Trade,7701269,0
270,Jalen Lecque,PG,20,IND,4,0,12,1,9,0.111,0,1,0.0,1,8,0.125,0.111,3,3,1.0,2,3,5,2,0,0,0,0,5,420,1517981,0,,1517981,0
271,Damion Lee,SG,28,GSW,49,1,927,107,236,0.45299999999999996,67,172,0.39,40,64,0.625,0.595,36,40,0.9,18,134,152,67,28,6,23,77,317,374,1762796,1910860,MLE,600000,0
273,Alex Len,C,27,TOT,41,19,638,110,174,0.632,6,21,0.28600000000000003,104,153,0.68,0.649,44,76,0.579,41,112,153,35,12,48,37,85,270,381,4032648,0,,,0
274,Kawhi Leonard,SF,29,LAC,42,42,1452,394,767,0.514,81,206,0.39299999999999996,313,561,0.5579999999999999,0.5660000000000001,212,242,0.8759999999999999,50,224,274,207,76,19,80,70,1081,13,34379100,36016200,Cap Space,34379100,1
275,Meyers Leonard,C,28,MIA,3,2,29,3,7,0.429,3,7,0.429,0,0,0.5024249011857715,0.643,1,2,0.5,0,7,7,2,0,0,2,5,10,129,9400000,0,,9400000,1
276,Caris LeVert,SG,26,TOT,24,16,728,157,378,0.415,43,132,0.326,114,246,0.46299999999999997,0.47200000000000003,56,72,0.778,17,84,101,127,35,7,50,40,413,71,16203704,17500000,1st Round pick,52500000,1
277,Kira Lewis Jr.,PG,19,NOP,33,0,519,87,206,0.42200000000000004,26,71,0.366,61,135,0.452,0.485,21,28,0.75,7,33,40,75,22,6,17,49,221,249,3640200,3822240,1st Round Pick,7462440,0
278,Damian Lillard,PG,30,POR,47,47,1687,429,958,0.44799999999999995,196,513,0.382,233,445,0.524,0.55,337,360,0.9359999999999999,24,176,200,363,45,12,150,74,1391,19,31626953,43750000,1st Round Pick,227626953,1
279,Nassir Little,PF,20,POR,30,2,428,53,114,0.465,24,62,0.387,29,52,0.5579999999999999,0.57,31,36,0.861,22,60,82,15,4,11,13,33,161,331,2210640,2316240,1st Round Pick,4526880,0
280,Kevon Looney,C,24,GSW,39,15,599,61,105,0.581,4,10,0.4,57,95,0.6,0.6,20,27,0.741,62,93,155,71,15,16,22,76,146,214,4821429,5178572,Bird Rights,4821429,0
281,Brook Lopez,C,32,MIL,49,49,1331,206,428,0.48100000000000004,72,212,0.34,134,216,0.62,0.565,74,88,0.841,71,174,245,36,31,70,46,101,558,97,12697675,13302325,Cap Space,39906976,1
282,Robin Lopez,C,32,WAS,49,9,989,169,278,0.608,5,17,0.294,164,261,0.628,0.617,72,102,0.706,106,97,203,41,14,32,52,85,415,163,7300000,0,MLE,7300000,0
283,Kevin Love,PF,32,CLE,7,7,128,18,49,0.36700000000000005,10,29,0.345,8,20,0.4,0.469,9,11,0.818,4,31,35,14,3,1,11,9,55,20,31300000,31300000,Bird Rights,91500000,1
284,Kyle Lowry,PG,34,TOR,39,39,1348,220,505,0.436,106,269,0.39399999999999996,114,236,0.483,0.541,118,134,0.8809999999999999,33,179,212,284,40,10,111,123,664,21,30000000,0,Bird Rights,30000000,1
285,Timothé Luwawu-Cabarrot,SF,25,BRK,44,7,847,101,276,0.366,61,184,0.332,40,92,0.435,0.47600000000000003,29,36,0.8059999999999999,20,85,105,58,29,6,34,82,292,371,1824003,0,,,0
286,Trey Lyles,PF,25,SAS,23,9,358,43,90,0.478,14,40,0.35,29,50,0.58,0.556,15,23,0.652,9,77,86,14,6,1,6,13,115,192,5500000,0,,,0
288,Thon Maker,C,23,CLE,8,0,76,10,18,0.556,0,2,0.0,10,16,0.625,0.556,10,11,0.909,8,10,18,4,2,4,3,7,30,486,309355,0,,309355,0
289,Théo Maledon,PG,19,OKC,44,28,1191,142,379,0.375,74,202,0.366,68,177,0.384,0.47200000000000003,54,69,0.7829999999999999,16,136,152,145,40,4,89,96,412,351,2000000,2000000,MLE,4000000,0
291,Terance Mann,SG,24,LAC,48,4,867,117,238,0.49200000000000005,22,57,0.386,95,181,0.525,0.5379999999999999,51,66,0.773,45,141,186,70,19,10,31,90,307,405,1517984,1782621,Minimum Salary,1517984,0
293,Boban Marjanović,C,32,DAL,23,3,209,49,101,0.485,0,6,0.0,49,95,0.516,0.485,18,24,0.75,39,62,101,7,1,4,9,22,116,261,3500000,0,Bi-Annual Exception,3500000,0
294,Lauri Markkanen,PF,23,CHI,28,25,819,165,346,0.47700000000000004,70,185,0.37799999999999995,95,161,0.59,0.578,59,70,0.843,21,141,162,26,13,11,34,46,459,171,6731508,0,1st Round Pick,6731508,0
296,Caleb Martin,SF,25,CHO,35,1,478,62,159,0.39,21,70,0.3,41,89,0.461,0.456,22,37,0.595,20,65,85,35,27,7,22,34,167,431,1517981,1782621,,,0
297,Cody Martin,SF,25,CHO,37,2,528,57,125,0.456,11,39,0.282,46,86,0.535,0.5,17,28,0.607,32,63,95,54,22,6,22,33,142,408,1517981,1782621,MLE,3300602,0
298,Kelan Martin,SF,25,IND,16,0,70,10,27,0.37,5,13,0.385,5,14,0.35700000000000004,0.46299999999999997,2,2,1.0,2,11,13,3,4,1,4,6,27,440,1445697,1701593,Minimum Salary,722848,0
299,Kenyon Martin Jr.,SF,20,HOU,23,0,443,64,119,0.5379999999999999,9,25,0.36,55,94,0.585,0.5760000000000001,27,38,0.711,40,63,103,18,13,22,20,41,164,465,898310,1517981,MLE,898310,0
